Code Acte;N°;Désignation de la Prestation;Montant Global  TTC;"Montant pris en charge par l’entreprise (soit 80% TTC) plafonnés à 250;000;00DA TTC";Montant pris en charge par le bénéficiaire (soit 20% ou +  TTC);;
04TPC35010041;47;Fracture Clavicule ;60 000.00;48 000.00;12 000.00;;
04TPC35010042;48;Fracture de Coude;100 000.00;80 000.00;20 000.00;;
04TPC35010043;49;Fracture Fémur ;90 000.00;72 000.00;18 000.00;;
04TPC35010044;50;Fracture Genou ou rotule ;60 000.00;48 000.00;12 000.00;;
04TPC35010045;51;Fracture Hanche ;90 000.00;72 000.00;18 000.00;;
04TPC35010046;52;Fracture Humérus;100 000.00;80 000.00;20 000.00;;
04TPC35010047;53;Fracture Jambe ;80 000.00;64 000.00;16 000.00;;
04TPC35010048;54;Fracture Main (métacarpe-phalange;60 000.00;48 000.00;12 000.00;;
04TPC35010049;55;gastrectomie total;250 000.00;200 000.00;50 000.00;;
04TPC35010050;56;Gonarthrose ;100 000.00;80 000.00;20 000.00;;
04TPB35010051;57;Grossesse extrat utérine;120 000.00;96 000.00;24 000.00;;
04TPC35010052;58;hemi colectomie gauche et droit;200 000.00;160 000.00;40 000.00;;
04TPC35010053;59;hémorroïdes simple;85 000.00;68 000.00;17 000.00;;
04TPC35010054;60;hernie bilatérale;110 000.00;88 000.00;22 000.00;;
04TPC35010055;61;hernie inguinale + plaque;100 000.00;80 000.00;20 000.00;;
04TPC35010056;62;hernie inguinale simple;85 000.00;68 000.00;17 000.00;;
04TPC35010057;63;Hydrocèle;80 000.00;64 000.00;16 000.00;;
04TPC35010058;64;hypospadias;50 000.00;40 000.00;10 000.00;;
04TPC35010059;65;Hystérectomie sous coelio ;150 000.00;120 000.00;30 000.00;;
04TPC35010060;66;Hystérectomie totale (lap);110 000.00;88 000.00;22 000.00;;
04TPC35010061;67;Hystérotomie hémostase ;100 000.00;80 000.00;20 000.00;;
04TPC35010062;68;Incision de l’hymen;60 000.00;48 000.00;12 000.00;;
04TPC35010063;69;Kyste de cordon ;40 000.00;32 000.00;8 000.00;;
04TPC35010064;70;Kyste de l’ovaire simple;60 000.00;48 000.00;12 000.00;;
04TPC35010065;71;Kyste hydatique du foie ;150 000.00;120 000.00;30 000.00;;
04TPC35010066;72;Kyste lipome petites tumeurs cutanées S/AL;15 000.00;12000.00;3 000.00;;
04TPC35010067;73;Kyste ou fistule du cou ;30 000.00;24 000.00;6 000.00;;
04TPC35010068;74;Kystectomie d’ovaire  ;100 000.00;80 000.00;20 000.00;;
04TPC35010069;75;L.C.H (luxation congénitale de la hanche);100 000.00;80 000.00;20 000.00;;
04TPC35010070;76;Laparotomie exploratrice ;60 000.00;64 000.00;16 000.00;;
04TPC35010071;77;Laxité (L.C.A);170 000.00;136 000.00;34 000.00;;
04TPC35010072;78;Ligature résection des trompes ;100 000.00;80 000.00;20 000.00;;
04TPC35010073;79;Lithiase de la voie biliaire principale;180 000.00;144 000.00;36 000.00;;
04TPC35010074;80;Lithiase rénale ;150 000.00;120 000.00;30 000.00;;
04TPC35010075;81;Lithiase urétrale;150 000.00;120 000.00;30 000.00;;
04TPC35010076;82;Lithiase vésiculaire ;100 000.00;80 000.00;20 000.00;;
04TPC35010077;83;Lithiase vésiculaire cœlioscopie;120 000.00;96 000.00;24 000.00;;
04TPC35010078;84;lobectomie simple;90 000.00;72 000.00;18 000.00;;
04TPC35010079;85;Luxation de l’épaule ;60 000.00;48 000.00;12 000.00;;
04TPC35010080;86;Main botte ;40 000.00;32 000.00;8 000.00;;
04TPC35010081;87;Maladies de jonction;80 000.00;64 000.00;16 000.00;;
04TPC35010082;88;Megaurteres congénitaux ;80 000.00;64 000.00;16 000.00;;
04TPC35010083;89;Ménisque ;70 000.00;56 000.00;14 000.00;;
04TPC35010084;90;Néphrectomie pour cancer ;150 000.00;120 000.00;30 000.00;;
04TPC35010085;91;Néphrectomie simple;90 000.00;72 000.00;18 000.00;;
04TPC35010086;92;Occlusion intestinale;150 000.00;120 000.00;30 000.00;;
04TPC35010087;93;Ongle incarne;20 000.00;16 000.00;4 000.00;;
04TPC35010088;94;Péritonite ;120 000.00;96 000.00;24 000.00;;
04TPC35010089;95;péritonite appendiculaire avec drainage;180 000.00;144 000.00;36 000.00;;
04TPC35010090;96;Pied bot ;40 000.00;32 000.00;8 000.00;;
04TPC35010091;97;plastron appendiculaire;120 000.00;96 000.00;24 000.00;;
04TPC35010092;98;Prostate (adénome-cancer);120 000.00;96 000.00;24 000.00;;
04TPC35010093;99;résection antérieure;250 000.00;200 000.00;50 000.00;;
04TPC35010094;100;résection antérieure basse;250 000.00;200 000.00;50 000.00;;
04TPC35010095;101;résection+anastomose;200 000.00;160 000.00;40 000.00;;
04TPC35010096;102;Rétrécissement urétrale ;100 000.00;80 000.00;20 000.00;;
04TPC35010097;103;Rupture utérine ;90 000.00;72 000.00;18 000.00;;
04TPC35010098;104;Salpingectomie ;100 000.00;80 000.00;20 000.00;;
04TPC35010099;105;thyroïdectomie total;110 000.00;88 000.00;22 000.00;;
04TPC35010100;106;Torsion d’un kyste ovarien;100 000.00;80 000.00;20 000.00;;
04TPC35010101;107;Torticolis congénital;40 000.00;32 000.00;8 000.00;;
04TPC35010102;108;Tumeur de cou;85 000.00;68 000.00;17 000.00;;
04TPC35010103;109;Tumeur de vessie ;100 000.00;80 000.00;20 000.00;;
04TPC35010104;110;Ulcère duodénal;150 000.00;120 000.00;30 000.00;;
04TPC35010105;111;Varices ;80 000.00;64 000.00;16 000.00;;
04TPC35010106;112;varicocèle;50 000.00;40 000.00;10 000.00;;
04TPC35010107;113;Vulvectomie ;80 000.00;64 000.00;16 000.00;;
04TPC3501108;114;Ambulatoire (hôpital du jour);8 000.00;6 400.00;1 600.00;;
04TPC3501109;115;hospitalisation en réanimation médicale ;20 000.00;16 000.00;4 000.00;;
04TPI3501110;116;TDM (APC);25 000.00;20 000.00;5 000.00;;
04TPI3501111;117;TDM (SPC);15 000.00;12 000.00;3 000.00;;
04TPI35020001;1;ANGI IRM Abdominale;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020002;2;ANGI IRM Abdominale avec Injection;"25;000.00";"20;000.00";"5;000.00";;
04TPI35020003;3;Biopsie Mammaire Echo guidée;"15;000.00";"12;000.00";"3;000.00";;
04TPI35020004;4;Cytoponctions Echo guidée;"2;500.00";"2;000.00";500.00;;
04TPI35020005;5;Echo-Abdomino-pelvienne;"2;000.00";"1;600.00";400.00;;
04TPI35020006;6;Echo-Cheville;"2;500.00";"2;000.00";500.00;;
04TPI35020007;7;Echo-doppler des Membres Inférieurs;"4;000.00";"3;200.00";800.00;;
04TPI35020008;8;Echo-doppler des Membres Supérieurs;"4;000.00";"3;200.00";800.00;;
04TPI35020009;9;Echo-doppler Hépatique;"4;000.00";"3;200.00";800.00;;
04TPI35020010;10;Echo-doppler Testiculaire;"2;500.00";"2;000.00";500.00;;
04TPI35020011;11;Echo-Doppler TSA;"4;000.00";"3;200.00";800.00;;
04TPI35020012;12;Echo-Endorectale;"3;000.00";"2;400.00";600.00;;
04TPI35020013;13;Echo-Epaule;"2;000.00";"1;600.00";400.00;;
04TPI35020014;14;Echo-Epaules comparatives;"2;500.00";"2;000.00";500.00;;
04TPI35020015;15;Echo-ETF;"1;000.00";800.00;200.00;;
04TPI35020016;16;Echo-Genoux;"2;000.00";"1;600.00";400.00;;
04TPI35020017;17;Echo-Genoux comparatives;"3;000.00";"2;400.00";600.00;;
04TPI35020018;18;Echo-mammaire;"2;000.00";"1;600.00";400.00;;
04TPI35020019;19;Echo-Organe superficielle ou thoracique;"2;000.00";"1;600.00";400.00;;
04TPI35020020;20;Echo-Rénal;"4;000.00";"3;200.00";800.00;;
04TPI35020021;21;Echo-Système urinaire;"2;000.00";"1;600.00";400.00;;
04TPI35020022;22;Echo-Transthoracique de repérage;"1;500.00";"1;200.00";300.00;;
04TPI35020023;23;ENTERO IRM avec injection;"25;000.00";"20;000.00";"5;000.00";;
04TPI35020024;24;ENTERO IRM sans injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020025;25;IRM Cardiaque;"27;000.00";"21;600.00";"5;400.00";;
04TPI35020026;26;IRM Cérébrale Avec Injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020027;27;IRM Cérébrale Sans Injection;"18;500.00";"14;800.00";"3;700.00";;
04TPI35020028;28;IRM Cervico-Dorso-Lombaire avec injection;"23;500.00";"18;800.00";"4;700.00";;
04TPI35020029;29;IRM Cervico-Dorso-Lombaire sans injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020030;30;IRM des ATM;"19;500.00";"15;600.00";"3;900.00";;
04TPI35020031;31;IRM des Parties Molles avec injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020032;32;IRM du Rocher;"19;500.00";"15;600.00";"3;900.00";;
04TPI35020033;33;IRM Hépatobiliaire avec injection (BILI IRM);"23;500.00";"18;800.00";"4;700.00";;
04TPI35020034;34;IRM Hépatobiliaire sans injection (BILI IRM);"20;500.00";"16;400.00";"4;100.00";;
04TPI35020035;35;IRM Hypophysaire avec injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020036;36;IRM Mammaire avec injection;"25;000.00";"20;000.00";"5;000.00";;
04TPI35020037;37;IRM Mammaire sans injection;"21;500.00";"17;200.00";"4;300.00";;
04TPI35020038;38;IRM Médullaire avec injection;"23;500.00";"18;800.00";"4;700.00";;
04TPI35020039;39;IRM Orbitaire (Orbito-cérébrale);"20;500.00";"16;400.00";"4;100.00";;
04TPI35020040;40;IRM ORL (du Cou);"20;500.00";"16;400.00";"4;100.00";;
04TPI35020041;41;IRM Os et articulaire sans injection (Dt et Ghe);"32;500.00";"26;000.00";"6;500.00";;
04TPI35020042;42;"IRM Os et articulaire sans injection (genou ; bassin; épaule)";"17;500.00";"14;000.00";"3;500.00";;
04TPI35020043;43;IRM Pelvienne avec injection;"23;500.00";"18;800.00";"4;700.00";;
04TPI35020044;44;IRM Pelvienne sans injection;"19;500.00";"15;600.00";"3;900.00";;
04TPI35020045;45;IRM Plexus Brachial;"20;500.00";"16;400.00";"4;100.00";;
04TPI35020046;46;IRM Rachis avec injection;"20;500.00";"16;400.00";"4;100.00";;
04TPI35020047;47;IRM Rachis sans injection;"17;500.00";"14;000.00";"3;500.00";;
04TPI35020048;48;Mammographie;"6;000.00";"4;800.00";"1;200.00";;
04TPI35020049;49;ostéodensitométrie ;"6;000.00";"4;800.00";"1;200.00";;
04TPI35020050;50;TDM ATM;"9;000.00";"7;200.00";"1;800.00";;
04TPI35020051;51;TDM Bassin;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020052;52;TDM Cérébrale sans injection;"7;500.00";"6;000.00";"1;500.00";;
04TPI35020053;53;TDM Cérébro cervicale;"10;500.00";"8;400.00";"2;100.00";;
04TPI35020054;54;TDM Cervicale;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020055;55;TDM Cervico dorsale;"10;500.00";"8;400.00";"2;100.00";;
04TPI35020056;56;TDM Cervico dorso lombaire;"16;000.00";"12;800.00";"3;200.00";;
04TPI35020057;57;TDM de la Cheville;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020058;58;TDM de la Hanche;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020059;59;TDM des Sinus;"8;500.00";"6;800.00";"1;700.00";;
04TPI35020060;60;TDM Dorsolombaire;"13;000.00";"10;400.00";"2;600.00";;
04TPI35020061;61;TDM du Cavum;"9;000.00";"7;200.00";"1;800.00";;
04TPI35020062;62;TDM du Fémur;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020063;63;TDM du Genoux;"8;500.00";"6;800.00";"1;700.00";;
04TPI35020064;64;TDM du Pied;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020065;65;TDM du Rocher;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020066;66;TDM Facial;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020067;67;TDM Lombaire;"8;500.00";"6;800.00";"1;700.00";;
04TPI35020068;68;TDM ORL;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020069;69;TDM Pelvimétrie;"7;500.00";"6;000.00";"1;500.00";;
04TPI35020070;70;TDM Thoracique;"9;500.00";"7;600.00";"1;900.00";;
04TPI35020071;71;TDM Thoraco Abdomino Pelvien = TAP;"17;000.00";"13;600.00";"3;400.00";;
04TPI35020072;72;TDM Urino Scanner;"8;500.00";"6;800.00";"1;700.00";;
04TPI35020073;73;TDM Uro Scanner;"13;000.00";"10;400.00";"2;600.00";;
04TPI35020074;74;URO IRM avec injection;"23;500.00";"18;800.00";"4;700.00";;
04TPI35020075;75;URO IRM sans injection;"20;500.00";"16;400.00";"4;100.00";;
04TPC35020076;76;Ambulatoire (Hôpital de jour);"4;500";"3;600";900;;
04TPC35020077;77;Nuitée (En chambre double);"9;000";"7;200";"1;800";;
04TPC35020078;78;Nuitée en Réanimation :;;;;;
04TPC35020079;79;sans oxygénothérapie;"30;000";"24;000";"6;000";;
04TPC35020080;80;avec oxygénothérapie;"35;000";"28;000";"7;000";;
04TPC35020081;81;avec ventilation artificielle;"40;000";"32;000";"8;000";;
04TPB35020082;82;Accouchement sans douleur;"45;000";"36;000";"9;000";;
04TPB35020083;83;Césarienne;"90;000";"72;000";"18;000";;
04TPC35020084;84;Abcès appendiculaire  ;"100;000";"80;000";"20;000";;
04TPC35020085;85;Abcès de la marge anale ;"45;000";"36;000";"9;000";;
04TPC35020086;86;Amputation abdomino-périnéale;"550;000";"250;000";"300;000";;
04TPC35020087;87;Appendicite S/Coelio;"90;000";"72;000";"18;000";;
04TPC35020088;88;Appendicite simple;"80;000";"64;000";"16;000";;
04TPC35020089;89;Cholécystectomie Coelio;"100;000";"80;000";"20;000";;
04TPC35020090;90;Cholécystectomie Taille;"100;000";"80;000";"20;000";;
04TPC35020091;91;Colectomie segmentaire;"390;000";"250;000";"140;000";;
04TPC35020092;92;Colostomie simple;"130;000";"104;000";"26;000";;
04TPC35020093;93;Duodéno-pancréatectomie céphalique (DPC);"440;000";"250;000";"190;000";;
04TPC35020094;94;Éventration avec Plaque;"220;000";"176;000";"44;000";;
04TPC35020095;95;Éventration simple ;"150;000";"120;000";"30;000";;
04TPC35020096;96;Fissure anale ;"55;000";"44;000";"11;000";;
04TPC35020097;97;Fistule anale;"55;000";"44;000";"11;000";;
04TPC35020098;98;Fistulectomie;"55;000";"44;000";"11;000";;
04TPC35020099;99;Gastrectomie subtotale;"330;000";"250;000";"80;000";;
04TPC35020100;100;Gastrectomie totale;"440;000";"250;000";"190;000";;
04TPC35020101;101;Hémi colectomie droite;"390;000";"250;000";"140;000";;
04TPC35020102;102;Hémi colectomie gauche;"390;000";"250;000";"140;000";;
04TPC35020103;103;Hémorroïdes simples;"55;000";"44;000";"11;000";;
04TPC35020104;104;Hernie diaphragmatique;"240;000";"192;000";"48;000";;
04TPC35020105;105;Hernie inguinale + Plaque ;"80;000";"64;000";"16;000";;
04TPC35020106;106;Hernie inguinale + plaque ;"120;000";"96;000";"24;000";;
04TPC35020107;107;Hernie inguinale bilatérale = Raphie;"100;000";"80;000";"20;000";;
04TPC35020108;108;Hernie inguinale étranglée;"100;000";"80;000";"20;000";;
04TPC35020109;109;Hernie inguinale étranglée avec occlusion;"165;000";"132;000";"33;000";;
04TPC35020110;110;Hernie inguinale simple  = Raphie;"75;000";"60;000";"15;000";;
04TPC35020111;111;Hernie ombilicale simple + plaque;"75;000";"60;000";"15;000";;
04TPC35020112;112;Hernie ombilicale simple = Raphie;"70;000";"56;000";"14;000";;
04TPC35020113;113;Kyste du tractus thyréoglosse;"75;000";"60;000";"15;000";;
04TPC35020114;114;Kyste hydatique du foie;"165;000";"132;000";"33;000";;
04TPC35020115;115;Kyste hydatique du poumon  ;"220;000";"176;000";"44;000";;
04TPC35020116;116;Kyste pilonidal;"55;000";"44;000";"11;000";;
04TPC35020117;117;Lithiase de la Voie Biliaire Principale;"130;000";"104;000";"26;000";;
04TPC35020118;118;Lobectomie simple;"100;000";"80;000";"20;000";;
04TPC35020119;119;Occlusion Intestinale;"165;000";"132;000";"33;000";;
04TPC35020120;120;Péritonite appendiculaire;"120;000";"96;000";"24;000";;
04TPC35020121;121;Péritonite biliaire ;"170;000";"136;000";"34;000";;
04TPC35020122;122;Péritonite par perforation d'ulcère ;"165;000";"132;000";"33;000";;
04TPC35020123;123;Résection +  anastomose;"390;000";"250;000";"140;000";;
04TPC35020124;124;Thyroïdectomie subtotale ;"110;000";"88;000";"22;000";;
04TPC35020125;125;Thyroïdectomie totale;"130;000";"104;000";"26;000";;
04TPC35020126;126;varices membre inferieurs;"70;000";"56;000";"14;000";;
04TPB35020127;127;Annexectomie;"90;000";"72;000";"18;000";;
04TPB35020128;128;Cerclage;"40;000";"32;000";"8;000";;
04TPB35020129;129;Curetage évacuateur;"40;000";"32;000";"8;000";;
04TPB35020130;130;Curetages biopsie ;"40;000";"32;000";"8;000";;
04TPB35020131;131;Fibrome utérin;"90;000";"72;000";"18;000";;
04TPB35020132;132;Hystérectomie totale;"130;000";"104;000";"26;000";;
04TPB35020133;133;Kyste de l’ovaire compliqué;"120;000";"96;000";"24;000";;
04TPB35020134;134;Kyste de l’ovaire simple ;"90;000";"72;000";"18;000";;
04TPB35020135;135;Mastectomie + Curage;"170;000";"136;000";"34;000";;
04TPB35020136;136;Nodule de sein;"40;000";"32;000";"8;000";;
04TPC35020137;137;Adénome de la Prostate par Résection Endoscopique;"110;000";"88;000";"22;000";;
04TPC35020138;138;Adénome de la Prostate par taille;"130;000";"104;000";"26;000";;
04TPC35020139;139;Agrandissement de la vessie ;"550;000";"250;000";"300;000";;
04TPC35020140;140;Cystectomie totale avec dérivation urinaire;"550;000";"250;000";"300;000";;
04TPC35020141;141;Cystostomie;"10;000";"8;000";"2;000";;
04TPC35020142;142;Ectopie testiculaire;"70;000";"56;000";"14;000";;
04TPC35020143;143;Fistule vésico-vaginale;"110;000";"88;000";"22;000";;
04TPC35020144;144;Hydrocèle;"70;000";"56;000";"14;000";;
04TPC35020145;145;Hypospadias ;"65;000";"52;000";"13;000";;
04TPC35020146;146;incontinence urinaire par trans obturator trace;"130;000";"104;000";"26;000";;
04TPC35020147;147;Lithiase urétérale;"170;000";"136;000";"34;000";;
04TPC35020148;148;Lithiase vésicale;"110;000";"88;000";"22;000";;
04TPC35020149;149;Lithotritie;"80;000";"64;000";"16;000";;
04TPC35020150;150;Néphrectomie ;"220;000";"176;000";"44;000";;
04TPC35020151;151;Nephro Lithectomie  Per Cut&née = NLPC;"440;000";"250;000";"190;000";;
04TPC35020152;152;Phlegmon rénal;"130;000";"104;000";"26;000";;
04TPC35020153;153;retrotomie Interne;"110;000";"88;000";"22;000";;
04TPC35020154;154;Tumeur de Vessie complexe par Résection Endos;"110;000";"88;000";"22;000";;
04TPC35020155;155;Tumeur de Vessie Radicale;"330;000";"250;000";"80;000";;
04TPC35020156;156;Tumeur de Vessie simple par Résection Endos ;"55;000";"44;000";"11;000";;
04TPC35020157;157;Arthroscopie Lésions méniscales ;"80;000";"64;000";"16;000";;
04TPC35020158;158;Arthroscopie Laxités ;"180;000";"144;000";"36;000";;
04TPC35020159;159;Arthrose genou Ostéotomie de valgisation;"140;000";"112;000";"28;000";;
04TPC35020160;160;Canal carpien Traitement chirurgical;"44;000";"35;200";"8;800";;
04TPC35020161;161;Fracture de la clavicule Traitement Chirurgical par embrochage;"75;000";"60;000";"15;000";;
04TPC35020162;162;Fracture de la clavicule Traitement Chirurgical par plaque vissée;"98;000";"78;400";"19;600";;
04TPC35020163;163;Fracture de l’humérus Traitement chirurgical embrochage /vissage /plaque vissée.;"130;000";"104;000";"26;000";;
04TPC35020164;164;Fracture olécrane Traitement chirurgical;"85;000";"68;000";"17;000";;
04TPC35020165;165;Fracture de la tête radiale Traitement chirurgical : Ostéosynthèse;"85;000";"68;000";"17;000";;
04TPC35020166;166;Fracture de la tête radiale Traitement chirurgical : Résection tête radiale;"70;000";"56;000";"14;000";;
04TPC35020167;167;Fracture des 2 OS de l’avant bras Traitement chirurgical : Ostéosynthèse;"12;000";"9;600";"2;400";;
04TPC35020168;168;Fracture inferieur du radius Traitement chirurgical : Ostéosynthèse;"110;000";"88;000";"22;000";;
04TPC35020169;169;Fracture de Galéazi : Traitement chirurgical : Ostéosynthèse;"100;000";"80;000";"20;000";;
04TPC35020170;170;Fracture luxation poignet  Traitement chirurgical : Ostéosynthèse;"100;000";"80;000";"20;000";;
04TPC35020171;171;Fracture scaphoïde carpien Traitement chirurgical : Ostéosynthèse;"110;000";"88;000";"22;000";;
04TPC35020172;172;Fracture des métacarpiens Traitement chirurgical : Ostéosynthèse;"65;000";"52;000";"13;000";;
04TPC35020173;173;Fracture phalange Traitement chirurgical : Ostéosynthèse;"65;000";"52;000";"13;000";;
04TPC35020174;174;Fractures du bassin Fractures du bassin ;"330;000";"250;000";"80;000";;
04TPC35020175;175;Fracture d'extrémité supérieure du fémur Vissage col et Prothèse intermédiaire;"200;000";"160;000";"40;000";;
04TPC35020176;176;Fracture d'extrémité supérieure du fémur Clou gamma;"200;000";"160;000";"40;000";;
04TPC35020177;177;Fracture d'extrémité supérieure du fémur Prthèse totale de hanche;"500;000";"250;000";"250;000";;
04TPC35020178;178;Fracture de la diaphyse fémorale Embrochage simple;"130;000";"104;000";"26;000";;
04TPC35020179;179;Fracture de la diaphyse fémorale Enclouage ;"200;000";"160;000";"40;000";;
04TPC35020180;180;Fracture de la diaphyse fémorale Clou plaque ;"200;000";"160;000";"40;000";;
04TPC35020181;181;Fracture de la diaphyse fémorale plaque vissée  ;"200;000";"160;000";"40;000";;
04TPC35020182;182;Fracture extrémité inférieure du fémur Plaque vissée ;"150;000";"120;000";"30;000";;
04TPC35020183;183;Fracture de la rotule Traitement chirurgical;"85;000";"68;000";"17;000";;
04TPC35020184;184;Fracture des plateaux Traitement chirurgical;"160;000";"128;000";"32;000";;
04TPC35020185;185;Fracture de jambe Traitement chirurgical : Ostéosynthèse;"110;000";"88;000";"22;000";;
04TPC35020186;186;Fracture du pilon tibial Traitement chirurgical : Ostéosynthèse;"160;000";"128;000";"32;000";;
04TPC35020187;187;Fracture astragale Traitement chirurgical : Ostéosynthèse;"140;000";"112;000";"28;000";;
04TPC35020188;188;Fracture du calcanéum Traitement chirurgical : Ostéosynthèse;"140;000";"112;000";"28;000";;
04TPC35020189;189;Hernie discale simple;"160;000";"128;000";"32;000";;
04TPC35020190;190;Hernie discale double ;"200;000";"160;000";"40;000";;
04TPC35020191;191;Hallux Valgus;"100;000";"80;000";"20;000";;
04TPC35020192;192;Kyste poignet sous anesthésie sous anesthésie locale;"30;000";"24;000";"6;000";;
04TPC35020193;193;Kyste poignet sous anesthésie sous anesthésie regionale;"40;000";"32;000";"8;000";;
04TPC35020194;194;Kyste poignet sous anesthésie sous anesthésie générale;"40;000";"32;000";"8;000";;
04TPC35020195;195;Luxation acromio-claviculaire Traitement chirurgical ;"85;000";"68;000";"17;000";;
04TPC35020196;196;Luxation traumatique de l’épaule Réduction sous AG + Contention ;"30;000";"24;000";"6;000";;
04TPC35020197;197;Luxation du coude Traitement chirurgical : Ostéosynthèse;"65;000";"52;000";"13;000";;
04TPC35020198;198;Luxation poignet semi lunaire Traitement chirurgical : Ostéosynthèse;"85;000";"68;000";"17;000";;
04TPC35020199;199;Lésions autres Tendineuses - Nerveuses et Vasculaire;"440;000";"250;000";"190;000";;
04TPC35020200;200;Prothèse de genoux Prothèse total du genoux;"500;000";"250;000";"250;000";;
04TPC35020201;201;Syndactylie Congénitale ou acquise;"85;000";"68;000";"17;000";;
04TPC35020202;202;Tendon d'Achille Traitement chirurgical;"11;000";"8;800";"2;200";;
04TPC35020203;203;Luxation congénitale de la hanche Ambulatoire                  ;"50;000";"40;000";"10;000";;
